STATISTIC	Statistic Label	TLIST(A1)	Year	C02873V03456	Type of Admission	C02842V03416	Health Service Executive Area	C02922V03531	Marital Status	UNIT	VALUE
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X02	HSE-Dublin/North-East	2	Married	Number	358
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X02	HSE-Dublin/North-East	3	Widowed	Number	63
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X02	HSE-Dublin/North-East	5	Divorced	Number	32
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X02	HSE-Dublin/North-East	9	Unknown	Number	162
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X03	HSE-South	-	All marital status	Number	1445
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X03	HSE-South	1	Single	Number	769
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X03	HSE-South	2	Married	Number	418
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X03	HSE-South	3	Widowed	Number	94
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X03	HSE-South	5	Divorced	Number	21
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X03	HSE-South	9	Unknown	Number	143
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X04	HSE-West	-	All marital status	Number	1217
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X04	HSE-West	1	Single	Number	654
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X04	HSE-West	2	Married	Number	354
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X04	HSE-West	3	Widowed	Number	56
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X04	HSE-West	5	Divorced	Number	29
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X04	HSE-West	9	Unknown	Number	124
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X06	Non-residents	-	All marital status	Number	37
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X06	Non-residents	1	Single	Number	21
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X06	Non-residents	2	Married	Number	11
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X06	Non-residents	3	Widowed	Number	0
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X06	Non-residents	5	Divorced	Number	0
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X06	Non-residents	9	Unknown	Number	5
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X23	All HSE areas incl. non-residents	-	All marital status	Number	5601
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X23	All HSE areas incl. non-residents	1	Single	Number	2879
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X23	All HSE areas incl. non-residents	2	Married	Number	1667
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X23	All HSE areas incl. non-residents	3	Widowed	Number	312
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X23	All HSE areas incl. non-residents	5	Divorced	Number	107
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X23	All HSE areas incl. non-residents	9	Unknown	Number	636
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X01	HSE-Dublin/Mid-Leinster	-	All marital status	Number	6115
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X01	HSE-Dublin/Mid-Leinster	1	Single	Number	3329
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X01	HSE-Dublin/Mid-Leinster	2	Married	Number	1628
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X01	HSE-Dublin/Mid-Leinster	3	Widowed	Number	265
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X01	HSE-Dublin/Mid-Leinster	5	Divorced	Number	97
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X01	HSE-Dublin/Mid-Leinster	9	Unknown	Number	796
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X02	HSE-Dublin/North-East	-	All marital status	Number	4226
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X02	HSE-Dublin/North-East	1	Single	Number	2163
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X02	HSE-Dublin/North-East	2	Married	Number	1064
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X02	HSE-Dublin/North-East	3	Widowed	Number	229
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X02	HSE-Dublin/North-East	5	Divorced	Number	91
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X02	HSE-Dublin/North-East	9	Unknown	Number	679
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X03	HSE-South	-	All marital status	Number	5636
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X03	HSE-South	1	Single	Number	3335
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X03	HSE-South	2	Married	Number	1352
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X03	HSE-South	3	Widowed	Number	298
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X03	HSE-South	5	Divorced	Number	109
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X03	HSE-South	9	Unknown	Number	542
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X04	HSE-West	-	All marital status	Number	4726
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X04	HSE-West	1	Single	Number	2697
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X04	HSE-West	2	Married	Number	1215
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X04	HSE-West	3	Widowed	Number	220
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X04	HSE-West	5	Divorced	Number	83
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X04	HSE-West	9	Unknown	Number	511
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X06	Non-residents	-	All marital status	Number	66
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X06	Non-residents	1	Single	Number	34
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X06	Non-residents	2	Married	Number	15
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X06	Non-residents	3	Widowed	Number	
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X06	Non-residents	5	Divorced	Number	
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X06	Non-residents	9	Unknown	Number	12
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X23	All HSE areas incl. non-residents	-	All marital status	Number	20769
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X23	All HSE areas incl. non-residents	1	Single	Number	11558
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X23	All HSE areas incl. non-residents	2	Married	Number	5274
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X23	All HSE areas incl. non-residents	3	Widowed	Number	1013
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X23	All HSE areas incl. non-residents	5	Divorced	Number	384
HRA23C1	Hospital Admissions (Number)	2007	2007	-	All admissions	X23	All HSE areas incl. non-residents	9	Unknown	Number	2540
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X01	HSE-Dublin/Mid-Leinster	-	All marital status	Number	1610
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X01	HSE-Dublin/Mid-Leinster	1	Single	Number	847
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X01	HSE-Dublin/Mid-Leinster	2	Married	Number	480
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X01	HSE-Dublin/Mid-Leinster	3	Widowed	Number	69
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X01	HSE-Dublin/Mid-Leinster	5	Divorced	Number	22
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X01	HSE-Dublin/Mid-Leinster	9	Unknown	Number	192
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X02	HSE-Dublin/North-East	-	All marital status	Number	1227
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X02	HSE-Dublin/North-East	1	Single	Number	614
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X02	HSE-Dublin/North-East	2	Married	Number	311
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X02	HSE-Dublin/North-East	3	Widowed	Number	59
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X02	HSE-Dublin/North-East	5	Divorced	Number	27
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X02	HSE-Dublin/North-East	9	Unknown	Number	216
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X03	HSE-South	-	All marital status	Number	1685
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X03	HSE-South	1	Single	Number	940
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X03	HSE-South	2	Married	Number	475
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X03	HSE-South	3	Widowed	Number	78
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X03	HSE-South	5	Divorced	Number	35
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X03	HSE-South	9	Unknown	Number	157
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X04	HSE-West	-	All marital status	Number	1289
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X04	HSE-West	1	Single	Number	724
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X04	HSE-West	2	Married	Number	359
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X04	HSE-West	3	Widowed	Number	58
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X04	HSE-West	5	Divorced	Number	23
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X04	HSE-West	9	Unknown	Number	125
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X06	Non-residents	-	All marital status	Number	42
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X06	Non-residents	1	Single	Number	23
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X06	Non-residents	2	Married	Number	9
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X06	Non-residents	3	Widowed	Number	
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X06	Non-residents	5	Divorced	Number	
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X06	Non-residents	9	Unknown	Number	7
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X23	All HSE areas incl. non-residents	-	All marital status	Number	5853
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X23	All HSE areas incl. non-residents	1	Single	Number	3148
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X23	All HSE areas incl. non-residents	2	Married	Number	1634
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X23	All HSE areas incl. non-residents	3	Widowed	Number	265
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X23	All HSE areas incl. non-residents	5	Divorced	Number	109
HRA23C1	Hospital Admissions (Number)	2007	2007	1	First admissions	X23	All HSE areas incl. non-residents	9	Unknown	Number	697
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X01	HSE-Dublin/Mid-Leinster	-	All marital status	Number	5982
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X01	HSE-Dublin/Mid-Leinster	1	Single	Number	3155
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X01	HSE-Dublin/Mid-Leinster	2	Married	Number	1736
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X01	HSE-Dublin/Mid-Leinster	3	Widowed	Number	268
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X01	HSE-Dublin/Mid-Leinster	5	Divorced	Number	80
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X01	HSE-Dublin/Mid-Leinster	9	Unknown	Number	743
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X02	HSE-Dublin/North-East	-	All marital status	Number	4268
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X02	HSE-Dublin/North-East	1	Single	Number	2216
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X02	HSE-Dublin/North-East	2	Married	Number	1191
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X02	HSE-Dublin/North-East	3	Widowed	Number	204
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X02	HSE-Dublin/North-East	5	Divorced	Number	84
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X02	HSE-Dublin/North-East	9	Unknown	Number	573
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X03	HSE-South	-	All marital status	Number	5641
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X03	HSE-South	1	Single	Number	3211
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X03	HSE-South	2	Married	Number	1517
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X03	HSE-South	3	Widowed	Number	243
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X03	HSE-South	5	Divorced	Number	139
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X03	HSE-South	9	Unknown	Number	531
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X04	HSE-West	-	All marital status	Number	4790
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X04	HSE-West	1	Single	Number	2701
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X04	HSE-West	2	Married	Number	1227
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X04	HSE-West	3	Widowed	Number	198
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X04	HSE-West	5	Divorced	Number	107
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X04	HSE-West	9	Unknown	Number	557
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X06	Non-residents	-	All marital status	Number	71
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X06	Non-residents	1	Single	Number	37
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X06	Non-residents	2	Married	Number	22
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X06	Non-residents	3	Widowed	Number	
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X06	Non-residents	5	Divorced	Number	
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X06	Non-residents	9	Unknown	Number	6
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X23	All HSE areas incl. non-residents	-	All marital status	Number	20752
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X23	All HSE areas incl. non-residents	1	Single	Number	11320
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X23	All HSE areas incl. non-residents	2	Married	Number	5693
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X23	All HSE areas incl. non-residents	3	Widowed	Number	915
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X23	All HSE areas incl. non-residents	5	Divorced	Number	414
HRA23C1	Hospital Admissions (Number)	2008	2008	-	All admissions	X23	All HSE areas incl. non-residents	9	Unknown	Number	2410
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X01	HSE-Dublin/Mid-Leinster	-	All marital status	Number	1776
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X01	HSE-Dublin/Mid-Leinster	1	Single	Number	859
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X01	HSE-Dublin/Mid-Leinster	2	Married	Number	579
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X01	HSE-Dublin/Mid-Leinster	3	Widowed	Number	87
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X01	HSE-Dublin/Mid-Leinster	5	Divorced	Number	20
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X01	HSE-Dublin/Mid-Leinster	9	Unknown	Number	231
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X02	HSE-Dublin/North-East	-	All marital status	Number	1385
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X02	HSE-Dublin/North-East	1	Single	Number	715
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X02	HSE-Dublin/North-East	2	Married	Number	416
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X02	HSE-Dublin/North-East	3	Widowed	Number	65
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X02	HSE-Dublin/North-East	5	Divorced	Number	30
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X02	HSE-Dublin/North-East	9	Unknown	Number	159
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X03	HSE-South	-	All marital status	Number	1614
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X03	HSE-South	1	Single	Number	878
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X03	HSE-South	2	Married	Number	489
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X03	HSE-South	3	Widowed	Number	59
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X03	HSE-South	5	Divorced	Number	43
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X03	HSE-South	9	Unknown	Number	145
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X04	HSE-West	-	All marital status	Number	1372
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X04	HSE-West	1	Single	Number	741
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X04	HSE-West	2	Married	Number	420
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X04	HSE-West	3	Widowed	Number	60
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X04	HSE-West	5	Divorced	Number	29
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X04	HSE-West	9	Unknown	Number	122
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X06	Non-residents	-	All marital status	Number	47
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X06	Non-residents	1	Single	Number	26
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X06	Non-residents	2	Married	Number	13
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X06	Non-residents	3	Widowed	Number	
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X06	Non-residents	5	Divorced	Number	
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X06	Non-residents	9	Unknown	Number	5
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X23	All HSE areas incl. non-residents	-	All marital status	Number	6194
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X23	All HSE areas incl. non-residents	1	Single	Number	3219
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X23	All HSE areas incl. non-residents	2	Married	Number	1917
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X23	All HSE areas incl. non-residents	3	Widowed	Number	272
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X23	All HSE areas incl. non-residents	5	Divorced	Number	124
HRA23C1	Hospital Admissions (Number)	2008	2008	1	First admissions	X23	All HSE areas incl. non-residents	9	Unknown	Number	662
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X01	HSE-Dublin/Mid-Leinster	-	All marital status	Number	5522
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X01	HSE-Dublin/Mid-Leinster	1	Single	Number	2917
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X01	HSE-Dublin/Mid-Leinster	2	Married	Number	1554
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X01	HSE-Dublin/Mid-Leinster	3	Widowed	Number	253
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X01	HSE-Dublin/Mid-Leinster	5	Divorced	Number	202
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X01	HSE-Dublin/Mid-Leinster	9	Unknown	Number	596
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X02	HSE-Dublin/North-East	-	All marital status	Number	4155
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X02	HSE-Dublin/North-East	1	Single	Number	2123
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X02	HSE-Dublin/North-East	2	Married	Number	1157
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X02	HSE-Dublin/North-East	3	Widowed	Number	175
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X02	HSE-Dublin/North-East	5	Divorced	Number	178
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X02	HSE-Dublin/North-East	9	Unknown	Number	522
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X03	HSE-South	-	All marital status	Number	5496
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X03	HSE-South	1	Single	Number	3100
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X03	HSE-South	2	Married	Number	1430
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X03	HSE-South	3	Widowed	Number	254
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X03	HSE-South	5	Divorced	Number	174
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X03	HSE-South	9	Unknown	Number	538
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X04	HSE-West	-	All marital status	Number	4953
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X04	HSE-West	1	Single	Number	2715
HRA23C1	Hospital Admissions (Number)	2009	2009	-	All admissions	X04	HSE-West	2	Married	Number	1315
